(title "Total Temperature")
(labels "Position" "Total Temperature")

((xy/key/label "axis_line")
0	90
0.000300519	90
0.000602091	90
0.000904721	90
0.00120841	90
0.00151317	90
0.00181899	90
0.00212589	90
0.00243386	90
0.00274291	90
0.00305305	90
0.00336427	90
0.00367658	90
0.00398999	90
0.0043045	90
0.00462011	90
0.00493683	90
0.00525466	90
0.0055736	90
0.00589366	90
0.00621484	90
0.00653715	90
0.00686059	90
0.00718516	90
0.00751087	90
0.00783772	90
0.00816572	90
0.00849487	90
0.00882517	90
0.00915663	90
0.00948926	90
0.00982304	90
0.010158	90
0.0104941	90
0.0108314	90
0.0111699	90
0.0115096	90
0.0118505	90
0.0121926	90
0.0125358	90
0.0128803	90
0.013226	90
0.0135729	90
0.013921	90
0.0142703	90
0.0146209	90
0.0149726	90
0.0153256	90
0.0156799	90
0.0160354	90
0.165296	90
0.166176	90
0.164419	90
0.163545	90
0.162675	90
0.161807	90
0.160942	90
0.16008	90
0.159221	90
0.158366	90
0.157513	90
0.156663	90
0.155816	90
0.154972	90
0.154132	90
0.153294	90
0.152459	90
0.151626	90
0.150797	90
0.149971	90
0.149147	90
0.148327	90
0.147509	90
0.146694	90
0.145882	90
0.145073	90
0.144267	90
0.143463	90
0.142663	90
0.141865	90
0.14107	90
0.140277	90
0.139488	90
0.138701	90
0.137917	90
0.137135	90
0.136357	90
0.135581	90
0.134808	90
0.134037	90
0.13327	90
0.132505	90
0.131742	90
0.0917915	90
0.0924138	90
0.0930383	90
0.0936651	90
0.094294	90
0.0949251	90
0.0955584	90
0.096194	90
0.0968318	90
0.0974718	90
0.098114	90
0.0987585	90
0.0994053	90
0.100054	90
0.100706	90
0.101359	90
0.102015	90
0.102673	90
0.103334	90
0.103997	90
0.104662	90
0.105329	90
0.105999	90
0.106671	90
0.107346	90
0.108023	90
0.108702	90
0.109384	90
0.110068	90
0.110754	90
0.111443	90
0.112134	90
0.112828	90
0.113524	90
0.114222	90
0.114923	90
0.115627	90
0.116333	90
0.117041	90
0.117752	90
0.118465	90
0.119181	90
0.1199	90
0.12062	90
0.121344	90
0.12207	90
0.122798	90
0.123529	90
0.124263	90
0.124999	90
0.125738	90
0.126479	90
0.127223	90
0.12797	90
0.128719	90
0.129471	90
0.130225	90
0.130982	90
0.131742	90
0.0160354	90
0.0163921	90
0.0167501	90
0.0171094	90
0.0174699	90
0.0178316	90
0.0181947	90
0.018559	90
0.0189246	90
0.0192914	90
0.0196596	90
0.020029	90
0.0203998	90
0.0207718	90
0.0211452	90
0.0215198	90
0.0218958	90
0.0222731	90
0.0226517	90
0.0230316	90
0.0234129	90
0.0237955	90
0.0241795	90
0.0245647	90
0.0249514	90
0.0253394	90
0.0257288	90
0.0261195	90
0.0265116	90
0.026905	90
0.0272999	90
0.0276961	90
0.0280937	90
0.0284928	90
0.0288932	90
0.029295	90
0.0296982	90
0.0301029	90
0.0305089	90
0.0309164	90
0.0313253	90
0.0317357	90
0.0321475	90
0.0325607	90
0.0329754	90
0.0333915	90
0.0338091	90
0.0342281	90
0.0346487	90
0.0350707	90
0.0354942	90
0.0359191	90
0.0363456	90
0.0367735	90
0.037203	90
0.0376339	90
0.0380664	90
0.0385004	90
0.0389359	90
0.0393729	90
0.0398115	90
0.0402516	90
0.0406932	90
0.0411364	90
0.0415811	90
0.0420274	90
0.0424753	90
0.0429248	90
0.0433758	90
0.0438284	90
0.0442825	90
0.0447383	90
0.0451957	90
0.0456547	90
0.0461153	90
0.0465775	90
0.0470413	90
0.0475067	90
0.0479738	90
0.0484425	90
0.0489129	90
0.0493849	90
0.0498586	90
0.0503339	90
0.0508109	90
0.0512895	90
0.0512895	90
0.0517699	90
0.0522519	90
0.0527356	90
0.053221	90
0.0537082	90
0.054197	90
0.0546875	90
0.0551798	90
0.0556738	90
0.0561695	90
0.0566669	90
0.0571661	90
0.0576671	90
0.0581698	90
0.0586742	90
0.0591805	90
0.0596885	90
0.0601983	90
0.0607098	90
0.0612232	90
0.0617384	90
0.0622554	90
0.0627742	90
0.0632948	90
0.0638172	90
0.0643415	90
0.0648676	90
0.0653955	90
0.0659253	90
0.066457	90
0.0669905	90
0.0675259	90
0.0680631	90
0.0686023	90
0.0691433	90
0.0696863	90
0.0702311	90
0.0707779	90
0.0713265	90
0.0718771	90
0.0724297	90
0.0729841	90
0.0735405	90
0.0740989	90
0.0746592	90
0.0752215	90
0.0757857	90
0.0763519	90
0.0769202	90
0.0774904	90
0.0780626	90
0.0786368	90
0.079213	90
0.0797912	90
0.0803715	90
0.0809538	90
0.0815382	90
0.0821246	90
0.082713	90
0.0833035	90
0.0838961	90
0.0844908	90
0.0850875	90
0.0856864	90
0.0862873	90
0.0868904	90
0.0874955	90
0.0881028	90
0.0887122	90
0.0893238	90
0.0899375	90
0.0905533	90
0.0911713	90
0.0917915	90
0.166176	90
0.16706	90
0.167946	90
0.168835	90
0.169728	90
0.170623	90
0.171522	90
0.172424	89.9999
0.173329	89.9999
0.174237	90.0002
0.175148	90.0001
0.176063	89.9999
0.176981	89.9999
0.177902	89.9999
0.178826	89.9999
0.179754	90
0.180684	90
0.181618	90
0.182556	90
0.183496	90.0001
0.18444	90.0001
0.185387	90.0001
0.186338	90.0001
0.187292	90.0001
0.188249	90.0001
0.189209	90.0002
0.190173	90.0002
0.19114	90.0001
0.192111	89.9999
0.193085	89.9999
0.194063	89.9998
0.195044	89.9997
0.196028	89.9997
0.197016	89.9997
0.198007	89.9997
0.199002	89.9997
0.2	89.9987
)
